id,review_text,sentiment_analysis,sentiment_label,aspects
1,"This is not a product, it's an experience. Watching 3D movies is like having an IMAX theater in my living room. I'll never watch a movie on a regular TV again.","Positive
Reason: The review is highly enthusiastic, praising the immersive experience and expressing strong preference over regular TVs.",Positive,"- Overall experience: Positive (described as an “experience,” very impressed)
- 3D movie watching: Positive (like having IMAX at home)
- Immersion/virtual screen: Positive (cinema-scale feel in the living room)
- TV replacement: Positive (won’t watch on a regular TV again)"
2,"The build quality is just... Apple. Premium glass, metal, and fabric. It feels like a $3,500 device. You get what you pay for.","Positive
Reason: The review praises the premium build quality and suggests the high price is justified.",Positive,"- Build quality: Positive (premium Apple-level construction)
- Materials: Positive (glass, metal, and fabric feel premium)
- Value for price: Positive (feels worth $3,500; you get what you pay for)"
3,"I'm a huge Apple fan, but I'm underwhelmed. It does a few 'wow' things, but it doesn't do anything *better* than my Mac and iPhone, except for 3D movies. Not worth the price.","Negative
Reason: Despite a few wow moments, the reviewer feels underwhelmed, finds no real advantages over existing devices (aside from 3D movies), and concludes it’s not worth the price.",Negative,"- Overall experience: Negative (underwhelmed)
- Wow factor/novelty: Neutral (a few “wow” moments)
- Capability vs Mac/iPhone: Negative (doesn’t do anything better)
- 3D movies: Positive (notably better experience)
- Price/Value: Negative (not worth the price)"
4,"Incredible hardware held back by first-gen software. visionOS is beautiful but feels a bit empty. I'm betting on its future potential, but it's not all there yet.","Neutral
Reason: The review praises the hardware and design but criticizes the current software and completeness, expressing mixed feelings and a wait-and-see outlook.",Neutral,"- Hardware: Positive (incredible hardware)
- Software: Negative (held back by first-gen software)
- visionOS design: Positive (beautiful)
- visionOS features/content: Negative (feels a bit empty)
- Overall maturity: Negative (not all there yet)
- Future potential: Positive (promising potential)"
5,"It's a lonely, heavy, expensive, and useless device. It does not replace my computer. It does not replace my TV. It just gathers dust. I'm embarrassed I bought it.","Negative
The reviewer expresses strong dissatisfaction, calling the device heavy, expensive, and useless, saying it fails to replace their computer/TV and that they regret buying it.",Negative,"- Weight/Comfort: Negative (heavy)
- Price: Negative (expensive)
- Utility: Negative (useless)
- Computer replacement: Negative (doesn’t replace my computer)
- TV replacement: Negative (doesn’t replace my TV)
- Social experience: Negative (lonely)
- Usage/Engagement: Negative (gathers dust)
- Purchase satisfaction: Negative (embarrassed I bought it)"
6,"It's expensive, yes. But it's the single most impressive piece of technology I've ever owned. It makes me excited about the future.",,,"- Price: Negative (expensive)
- Technology/Innovation: Positive (most impressive tech owned)
- Future potential: Positive (excited about the future)"
7,"I really wanted to love this, but it's just too isolating. When I'm wearing it, I'm cut off from my family. The EyeSight screen is a gimmick that doesn't work. They just see a blurry image of my eyes.",,,"- Social interaction/presence: Negative (too isolating; cut off from family)
- EyeSight screen: Negative (gimmick; shows others a blurry image of your eyes)"
8,"I bought it for work, but the Mac Virtual Display is too limiting with one screen. And any app that isn't native to visionOS is just a floating 2D panel. It's not the revolution I was sold.",,,"- Mac Virtual Display: Negative (limited to one screen)
- Non-native app experience: Negative (apps run as floating 2D panels)
- Productivity/work use: Negative (doesn’t meet work needs)
- Innovation/expectations: Negative (not the revolution promised)"
9,"The M5 is faster, sure, but it's also *heavier* than the M2 according to the specs. The new strap just manages that weight better. It's still a brick on your face.",,,"- Performance/Speed: Positive (M5 is faster than M2)
- Weight: Negative (heavier than M2; feels heavy)
- Strap/Headband: Positive (manages/distributes weight better)
- Comfort/Ergonomics: Negative (still feels like a brick on the face)"
10,"I'm a designer, and being able to see my 3D models in my actual office space is a professional game-changer. This device has already paid for itself in workflow improvements.",,,"- Spatial visualization/AR: Positive (can view 3D models in real space)
- Workflow/Productivity: Positive (significant workflow improvements)
- Value/ROI: Positive (has “paid for itself” through gains)"
11,"I was skeptical, but the immersive videos are mind-blowing. The wildlife documentary made me feel like I was actually there. I've never experienced media like this.",,,"- Immersive videos: Positive (mind-blowing)
- Sense of presence: Positive (felt like actually there)
- Media experience: Positive (unlike anything experienced before)"
12,"The passthrough is in a league of its own. I can comfortably walk around my house, grab a drink, and talk to my family without taking it off. It's not perfect, but it's miles ahead of anything else.",,,"- Passthrough quality: Positive (best-in-class; miles ahead despite minor flaws)
- Comfort/wearability: Positive (comfortable to keep on while moving)
- Mobility/spatial awareness: Positive (can walk around the house safely)
- Social interaction: Positive (can talk to family without removing it)
- Convenience: Positive (no need to take it off for quick tasks)"
13,"Typing in the air is slow and awkward. It works for a quick search, but for any real work, you absolutely need a Bluetooth keyboard. Same with the mouse.",,,"- Air typing: Negative (slow and awkward)
- Quick searches: Positive (works fine for brief tasks)
- Bluetooth keyboard: Negative (required for real work)
- Mouse: Negative (also needed for real work)"
14,The M5 version is what the original should have been. The new Dual Knit Band is a complete game-changer. I can finally wear this for hours. Absolutely stunning.,,,"- M5 version/update: Positive (what the original should have been)
- Dual Knit Band: Positive (complete game-changer)
- Comfort/wearability: Positive (can wear for hours)
- Overall experience: Positive (absolutely stunning)"
15,"I felt claustrophobic. The FOV is narrow, and the headset presses on your cheeks and forehead. I couldn't wait to take it off.",,,"- Field of view (FOV): Negative (narrow)
- Comfort/Fit: Negative (presses on cheeks and forehead)
- Wearability/Session length: Negative (couldn’t wait to take it off)
- Overall experience: Negative (felt claustrophobic)"
16,Spatial photos and videos are the killer app no one is talking about. Seeing my kids' birthday party in 3D like I'm standing there again is emotional and priceless. It's a true time machine.,,,"- Spatial photos and videos: Positive (described as the “killer app”)
- 3D immersion/presence: Positive (feels like standing there again)
- Emotional impact: Positive (moving and meaningful)
- Memory preservation: Positive (a “true time machine” for reliving moments)"
17,The Cinema Environment is my favorite feature. But I wish I could invite a friend to watch with me in a spatial call. It's a lonely experience right now.,,,"- Cinema Environment: Positive (favorite feature)
- Spatial call co-watching: Negative (can’t invite a friend to watch together)
- Social experience: Negative (feels lonely)"
18,"I bought the M5 model for the performance boost. Apps load instantly, and the rendering is noticeably smoother than the M2 I tried. This is the future of computing, and it's finally fast enough to be usable.",,,"- Performance: Positive (significant boost)
- App launch speed: Positive (apps load instantly)
- Rendering smoothness: Positive (noticeably smoother)
- Usability: Positive (finally fast enough to use)
- Model comparison (M5 vs M2): Positive (better than M2)
- Future potential: Positive (feels like the future of computing)"
19,"The M5 model is a fantastic upgrade. The new head strap is much better, but let's be honest—it's still a heavy computer on your face. I can go 2 hours, but not all day.",,,"- Upgrade (M5 model): Positive (fantastic upgrade)
- Head strap: Positive (much better)
- Comfort/Weight: Negative (still a heavy computer on your face)
- Usage duration: Negative (can go ~2 hours, not all day)"
20,"I've never been more disappointed in an Apple product. It's heavy, uncomfortable, and the software is a beta. I felt like an unpaid tester for a product that shouldn't have been released. I got my refund.",,,"- Comfort: Negative (uncomfortable to wear)
- Weight: Negative (heavy)
- Software quality: Negative (feels like beta)
- Product readiness: Negative (shouldn't have been released)
- Overall satisfaction: Negative (most disappointed; ended up returning it)"
21,"I keep trying to make it part of my life, but it's a solution in search of a problem. My MacBook and iPad are just faster and easier for 99% of tasks.",,,"- Usefulness/Practicality: Negative (feels like a solution in search of a problem)
- Productivity for everyday tasks: Negative (worse for 99% of tasks)
- Ease of use: Negative (MacBook/iPad are easier)
- Integration into daily life: Negative (hard to make it part of routine)"
22,"I'm a gamer, and this is... not a gaming device. Apple Arcade is cute, but it's not a 'killer app.' I'm waiting for real, AAA immersive games.",,,"- Gaming capability: Negative (not a gaming device)
- Game library/content: Negative (lacks real AAA immersive games)
- Apple Arcade: Negative (cute but not a killer app)"
23,"The battery. The cord. What a mess. I'm either stuck to a wall or I have this stupid, heavy battery pack in my pocket with a wire dangling. It's the most 'un-Apple' design ever.",,,"- Battery: Negative (external pack is heavy and awkward)
- Cord/Cable: Negative (wire dangling, feels tethered)
- Mobility/Freedom: Negative (stuck to a wall or tethered to a pack)
- Design/Aesthetics: Negative (“most ‘un-Apple’ design”)"
24,"I'm sending it back. The eye tracking is 'magic' until you're in a room with complex lighting, and then it just... doesn't work. I found myself pinching at the air like an idiot.",,,"- Eye tracking (when it works): Positive (feels like “magic”)
- Eye tracking reliability in complex lighting: Negative (doesn’t work in complex lighting)
- Gesture/pinch controls: Negative (left pinching at the air without effect)
- Overall experience: Negative (sending it back)"
25,"My new favorite way to multitask. I can have the basketball game on a giant screen, my email in the corner, and a Safari window open, all while I'm cooking. It's incredible.",,,"- Multitasking: Positive (new favorite way to multitask)
- Virtual display size: Positive (basketball game on a giant screen)
- Window layout/management: Positive (email in the corner and Safari window open)
- Real-world integration: Positive (usable while cooking)"
26,"I'm a VR enthusiast. This has a worse field of view, no tactile controllers, and no games compared to headsets that cost 1/7th the price. The display is nice, but that's it. It's a terrible value.",,,"- Field of view: Negative (worse than cheaper headsets)
- Controllers: Negative (no tactile controllers)
- Game library: Negative (no games)
- Display: Positive (nice)
- Price: Negative (far more expensive than alternatives)
- Value: Negative (terrible value)"
27,"I had the M2 and sold it. It was just too heavy, and I got neck pain. I'm hearing the M5 is better, but I'm not willing to spend another $3,500 to find out.",,,"- Weight: Negative (too heavy)
- Comfort/Ergonomics: Negative (caused neck pain)
- Price: Negative (not willing to spend $3,500)
- Future model (M5): Neutral (heard it's better, unverified)"
