id,review_text,sentiment_analysis,sentiment_label
1,"This is not a product, it's an experience. Watching 3D movies is like having an IMAX theater in my living room. I'll never watch a movie on a regular TV again.","Positive
Reason: The review is highly enthusiastic, praising the immersive experience and expressing strong preference over regular TVs.",Positive
2,"The build quality is just... Apple. Premium glass, metal, and fabric. It feels like a $3,500 device. You get what you pay for.","Positive
Reason: The review praises the premium build quality and suggests the high price is justified.",Positive
3,"I'm a huge Apple fan, but I'm underwhelmed. It does a few 'wow' things, but it doesn't do anything *better* than my Mac and iPhone, except for 3D movies. Not worth the price.","Negative
Reason: Despite a few wow moments, the reviewer feels underwhelmed, finds no real advantages over existing devices (aside from 3D movies), and concludes it’s not worth the price.",Negative
4,"Incredible hardware held back by first-gen software. visionOS is beautiful but feels a bit empty. I'm betting on its future potential, but it's not all there yet.","Neutral
Reason: The review praises the hardware and design but criticizes the current software and completeness, expressing mixed feelings and a wait-and-see outlook.",Neutral
5,"It's a lonely, heavy, expensive, and useless device. It does not replace my computer. It does not replace my TV. It just gathers dust. I'm embarrassed I bought it.","Negative
The reviewer expresses strong dissatisfaction, calling the device heavy, expensive, and useless, saying it fails to replace their computer/TV and that they regret buying it.",Negative
6,"It's expensive, yes. But it's the single most impressive piece of technology I've ever owned. It makes me excited about the future.",,
7,"I really wanted to love this, but it's just too isolating. When I'm wearing it, I'm cut off from my family. The EyeSight screen is a gimmick that doesn't work. They just see a blurry image of my eyes.",,
8,"I bought it for work, but the Mac Virtual Display is too limiting with one screen. And any app that isn't native to visionOS is just a floating 2D panel. It's not the revolution I was sold.",,
9,"The M5 is faster, sure, but it's also *heavier* than the M2 according to the specs. The new strap just manages that weight better. It's still a brick on your face.",,
10,"I'm a designer, and being able to see my 3D models in my actual office space is a professional game-changer. This device has already paid for itself in workflow improvements.",,
11,"I was skeptical, but the immersive videos are mind-blowing. The wildlife documentary made me feel like I was actually there. I've never experienced media like this.",,
12,"The passthrough is in a league of its own. I can comfortably walk around my house, grab a drink, and talk to my family without taking it off. It's not perfect, but it's miles ahead of anything else.",,
13,"Typing in the air is slow and awkward. It works for a quick search, but for any real work, you absolutely need a Bluetooth keyboard. Same with the mouse.",,
14,The M5 version is what the original should have been. The new Dual Knit Band is a complete game-changer. I can finally wear this for hours. Absolutely stunning.,,
15,"I felt claustrophobic. The FOV is narrow, and the headset presses on your cheeks and forehead. I couldn't wait to take it off.",,
16,Spatial photos and videos are the killer app no one is talking about. Seeing my kids' birthday party in 3D like I'm standing there again is emotional and priceless. It's a true time machine.,,
17,The Cinema Environment is my favorite feature. But I wish I could invite a friend to watch with me in a spatial call. It's a lonely experience right now.,,
18,"I bought the M5 model for the performance boost. Apps load instantly, and the rendering is noticeably smoother than the M2 I tried. This is the future of computing, and it's finally fast enough to be usable.",,
19,"The M5 model is a fantastic upgrade. The new head strap is much better, but let's be honest—it's still a heavy computer on your face. I can go 2 hours, but not all day.",,
20,"I've never been more disappointed in an Apple product. It's heavy, uncomfortable, and the software is a beta. I felt like an unpaid tester for a product that shouldn't have been released. I got my refund.",,
21,"I keep trying to make it part of my life, but it's a solution in search of a problem. My MacBook and iPad are just faster and easier for 99% of tasks.",,
22,"I'm a gamer, and this is... not a gaming device. Apple Arcade is cute, but it's not a 'killer app.' I'm waiting for real, AAA immersive games.",,
23,"The battery. The cord. What a mess. I'm either stuck to a wall or I have this stupid, heavy battery pack in my pocket with a wire dangling. It's the most 'un-Apple' design ever.",,
24,"I'm sending it back. The eye tracking is 'magic' until you're in a room with complex lighting, and then it just... doesn't work. I found myself pinching at the air like an idiot.",,
25,"My new favorite way to multitask. I can have the basketball game on a giant screen, my email in the corner, and a Safari window open, all while I'm cooking. It's incredible.",,
26,"I'm a VR enthusiast. This has a worse field of view, no tactile controllers, and no games compared to headsets that cost 1/7th the price. The display is nice, but that's it. It's a terrible value.",,
27,"I had the M2 and sold it. It was just too heavy, and I got neck pain. I'm hearing the M5 is better, but I'm not willing to spend another $3,500 to find out.",,
28,"The 'magic' is just marketing. The passthrough is blurry, the Personas are terrifying, and the weight is a serious health hazard for your neck. This is the biggest flop Apple has ever produced.",,
29,"The passthrough is... fine. But it's not 'reality.' It feels like you're watching your life through a high-def camera, which is exactly what it is. It's disorienting.",,
30,"A complete and total rip-off. It's a $500 VR headset with an Apple logo and a $3,000 markup. It does nothing better than its competition and a lot of things worse. Avoid.",,
31,"I love it, but the battery life is a joke. Two hours is just not enough. I'm constantly tethered to the wall with the power adapter, which kind of defeats the 'spatial' freedom.",,
32,"It's a 'Gen 1' product with a 'Gen 3' price. It's heavy, the battery is short, and there's no killer app. I'll be back in a few years when they make 'Apple Vision Air.'",,
33,I'm torn. The technology is 10/10. The practicality is 2/10. It sits on my desk more than it sits on my face. The novelty wore off fast.,,
34,"The spatial audio is magical. It sounds like the audio is coming from the windows in front of me, not from the headset. And when I turn my head, the sound stays put. So immersive.",,
35,"This thing is 90% magic, 10% frustration. The movie-watching experience is 5/5, but the app library is still 3/5. It needs more compelling, native apps.",,
36,"This is not a productivity device. It's a media consumption device. And as a media device, it has no Netflix, no YouTube, and no native Spotify. It's a $3,500 failure.",,
